AA,F,L,I,M,V,S,P,T,A,Y,H,Q,N,K,D,E,G,R,W,C,O
F,0.111,0.111,0.074,0,0.056,0.037,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0.111,0
L,0.333,0.333,0.148,0.222,0.167,0.037,0.111,0,0,0,0.111,0.111,0,0,0,0,0,0.074,0.111,0,0.111
I,0.111,0.074,0.222,0.333,0.083,0.037,0,0.083,0,0,0,0,0.111,0.056,0,0,0,0.019,0,0,0
M,0,0.037,0.111,0,0.028,0,0,0.028,0,0,0,0,0,0.056,0,0,0,0.019,0,0,0
V,0.111,0.111,0.111,0.111,0.333,0,0,0,0.111,0,0,0,0,0,0.111,0.111,0.111,0,0,0,0
S,0.111,0.037,0.074,0,0,0.259,0.111,0.167,0.111,0.111,0,0,0.111,0,0,0,0.056,0.111,0.111,0.222,0.111
P,0,0.074,0,0,0,0.074,0.333,0.111,0.111,0,0.111,0.111,0,0,0,0,0,0.074,0,0,0
T,0,0,0.111,0.111,0,0.111,0.111,0.333,0.111,0,0,0,0.111,0.111,0,0,0,0.037,0,0,0
A,0.111,0,0,0,0.111,0.074,0.111,0.111,0.333,0,0,0,0,0,0.111,0.111,0.111,0,0,0,0
Y,0,0,0,0,0,0.037,0,0,0,0.111,0.111,0,0.111,0,0.111,0,0,0,0,0.111,0.148
H,0,0.037,0,0,0,0,0.056,0,0,0.111,0.111,0.222,0.111,0,0.111,0,0,0.037,0,0,0
Q,0,0.037,0,0,0,0,0.056,0,0,0,0.222,0.111,0,0.111,0,0.111,0,0.037,0,0,0.074
N,0,0,0.074,0,0,0.037,0,0.056,0,0.111,0.111,0,0.111,0.222,0.111,0,0,0,0,0,0
K,0,0,0.037,0.111,0,0,0,0.056,0,0,0,0.111,0.222,0.111,0,0.111,0,0.037,0,0,0.074
D,0,0,0,0,0.056,0,0,0,0.056,0.111,0.111,0,0.111,0,0.111,0.222,0.056,0,0,0,0
E,0,0,0,0,0.056,0,0,0,0.056,0,0,0.111,0,0.111,0.222,0.111,0.056,0,0,0,0.074
G,0,0,0,0,0.111,0.037,0,0,0.111,0,0,0,0,0,0.111,0.111,0.333,0.111,0.111,0.111,0.037
R,0,0.074,0.037,0.111,0,0.111,0.111,0.056,0,0,0.111,0.111,0,0.111,0,0,0.167,0.333,0.222,0.111,0.074
W,0,0.019,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0.028,0.037,0,0.111,0.074
C,0.111,0,0,0,0,0.074,0,0,0,0.111,0,0,0,0,0,0,0.056,0.037,0.222,0.111,0.074
O,0,0.056,0,0,0,0.056,0,0,0,0.222,0,0.111,0,0.111,0,0.111,0.028,0.037,0.222,0.111,0.148
